
Age,Age_Group,Gender,Region,Household_Type,Occupation,IPTV_Provider,Subscription_Type,Digital_Literacy,OTT_Viewing_Ratio
38,35-44,Female,Other Urban,Single,Office Worker,SKB,Individual,High,0.72
35,35-44,Female,Rural Areas,Two-Person,Homemaker,SKB,Individual,Medium,0.23
0,0-4,Male,Other Urban,Four-or-More,Student,Other,Family,Low,0.58
32,25-34,Male,Other Urban,Three-Person,Professional/Managerial,Other,Triple-Play,Medium,0.52
46,45-54,Female,Other Urban,Four-or-More,Service Industry,LG U+,Family,Medium,0.17
81,65+,Female,Other Urban,Four-or-More,Retired/Unemployed,LG U+,Family,Low,0.52
75,65+,Female,Rural Areas,Two-Person,Homemaker,LG U+,Individual,Medium,0.42
3,0-4,Female,Other Urban,Two-Person,Student,KT,Family,Low,0.06
67,65+,Female,Other Urban,Two-Person,Retired/Unemployed,LG U+,Family,Low,0.31
58,55-64,Male,Other Urban,Single,Retired/Unemployed,LG U+,Triple-Play,Low,0.18
59,55-64,Male,Rural Areas,Two-Person,Homemaker,KT,Triple-Play,Low,0.29
35,35-44,Female,Other Urban,Two-Person,Office Worker,LG U+,Individual,Medium,0.73
35,35-44,Male,Rural Areas,Three-Person,Office Worker,LG U+,Family,Medium,0.42
27,25-34,Female,Other Urban,Two-Person,Office Worker,Other,Triple-Play,High,0.61
10,5-12,Female,Other Urban,Single,Student,SKB,Individual,Low,0.36
25,25-34,Female,Other Urban,Two-Person,Service Industry,SKB,Family,Low,0.35
26,25-34,Male,Other Urban,Two-Person,Office Worker,Other,Triple-Play,High,0.78
41,35-44,Female,Other Urban,Single,Service Industry,KT,Triple-Play,Low,0.09
55,55-64,Female,Rural Areas,Three-Person,Office Worker,LG U+,Family,Low,0.31
41,35-44,Female,Other Urban,Single,Service Industry,Other,Individual,Medium,0.82
11,5-12,Female,Seoul,Four-or-More,Student,LG U+,Triple-Play,Low,0.21
84,65+,Female,Other Urban,Single,Office Worker,Other,Individual,Low,0.68
74,65+,Male,Other Urban,Two-Person,Homemaker,SKB,Family,Low,0.57
60,55-64,Male,Rural Areas,Two-Person,Office Worker,KT,Family,Low,0.29
78,65+,Male,Other Urban,Single,Retired/Unemployed,KT,Individual,Low,0.66
52,45-54,Female,Other Urban,Two-Person,Service Industry,LG U+,Triple-Play,Medium,0.43
89,65+,Female,Other Urban,Three-Person,Retired/Unemployed,KT,Family,Medium,0.7
10,5-12,Female,Seoul,Single,Student,LG U+,Individual,Low,0.35
43,35-44,Female,Other Urban,Single,Homemaker,KT,Triple-Play,Low,0.61
28,25-34,Male,Other Urban,Two-Person,Service Industry,Other,Family,Medium,0.34
23,18-24,Female,Seoul,Single,Student,KT,Individual,High,0.79
18,18-24,Female,Other Urban,Three-Person,Student,SKB,Triple-Play,High,0.7
47,45-54,Male,Other Urban,Four-or-More,Professional/Managerial,LG U+,Triple-Play,Medium,0.65
56,55-64,Female,Other Urban,Single,Professional/Managerial,LG U+,Individual,Low,0.45
50,45-54,Male,Other Urban,Two-Person,Office Worker,SKB,Family,High,0.89
21,18-24,Female,Other Urban,Two-Person,Retired/Unemployed,Other,Family,Medium,0.74
55,55-64,Male,Other Urban,Two-Person,Retired/Unemployed,SKB,Family,Low,0.16
52,45-54,Female,Rural Areas,Single,Retired/Unemployed,KT,Triple-Play,Low,0.49
43,35-44,Male,Other Urban,Two-Person,Office Worker,SKB,Individual,Medium,0.17
63,55-64,Female,Other Urban,Single,Service Industry,LG U+,Individual,Low,0.36
26,25-34,Male,Other Urban,Single,Office Worker,SKB,Individual,High,0.71
33,25-34,Female,Rural Areas,Two-Person,Professional/Managerial,LG U+,Family,Medium,0.3
87,65+,Male,Seoul,Single,Retired/Unemployed,SKB,Triple-Play,Low,0.43
29,25-34,Female,Rural Areas,Single,Professional/Managerial,KT,Individual,High,0.49
41,35-44,Female,Other Urban,Single,Homemaker,KT,Individual,Low,0.15
89,65+,Male,Other Urban,Single,Retired/Unemployed,Other,Triple-Play,Low,0.19
62,55-64,Male,Seoul,Single,Service Industry,LG U+,Individual,Medium,0.54
12,5-12,Female,Other Urban,Single,Student,KT,Triple-Play,Low,0.08
23,18-24,Male,Other Urban,Single,Student,KT,Triple-Play,High,0.7
4,0-4,Female,Seoul,Three-Person,Student,KT,Triple-Play,Low,0.35
48,45-54,Male,Rural Areas,Single,Office Worker,LG U+,Individual,High,0.53
35,35-44,Male,Seoul,Three-Person,Professional/Managerial,KT,Family,High,0.7
15,13-17,Female,Seoul,Two-Person,Student,SKB,Family,High,0.79
70,65+,Male,Seoul,Three-Person,Retired/Unemployed,KT,Family,Low,0.63
50,45-54,Male,Seoul,Single,Homemaker,LG U+,Triple-Play,Medium,0.19
28,25-34,Female,Other Urban,Four-or-More,Office Worker,KT,Family,Medium,0.41
46,45-54,Male,Seoul,Three-Person,Office Worker,KT,Family,High,0.67
63,55-64,Female,Other Urban,Single,Service Industry,LG U+,Individual,Low,0.55
6,5-12,Male,Other Urban,Single,Student,SKB,Individual,Low,0.17
27,25-34,Male,Other Urban,Three-Person,Service Industry,LG U+,Family,Medium,0.51
64,55-64,Female,Other Urban,Four-or-More,Retired/Unemployed,KT,Triple-Play,Low,0.4
35,35-44,Male,Other Urban,Two-Person,Service Industry,SKB,Individual,Low,0.2
51,45-54,Male,Rural Areas,Two-Person,Office Worker,KT,Family,High,0.88
35,35-44,Male,Seoul,Single,Office Worker,LG U+,Triple-Play,High,0.81
7,5-12,Female,Seoul,Two-Person,Student,KT,Family,Low,0.31
18,18-24,Female,Other Urban,Single,Student,KT,Triple-Play,High,0.95
35,35-44,Male,Rural Areas,Single,Office Worker,KT,Triple-Play,High,0.92
22,18-24,Female,Other Urban,Single,Professional/Managerial,SKB,Triple-Play,High,0.75
11,5-12,Female,Other Urban,Single,Student,SKB,Individual,Low,0.5
83,65+,Male,Other Urban,Three-Person,Retired/Unemployed,SKB,Family,Low,0.44
89,65+,Female,Rural Areas,Three-Person,Homemaker,SKB,Triple-Play,Low,0.54
62,55-64,Male,Other Urban,Single,Office Worker,KT,Triple-Play,Low,0.16
79,65+,Male,Other Urban,Four-or-More,Retired/Unemployed,KT,Triple-Play,Low,0.21
27,25-34,Male,Seoul,Single,Professional/Managerial,KT,Individual,High,0.8
79,65+,Female,Rural Areas,Two-Person,Retired/Unemployed,KT,Family,Medium,0.53
22,18-24,Female,Other Urban,Three-Person,Student,KT,Family,High,0.53
87,65+,Female,Other Urban,Three-Person,Retired/Unemployed,KT,Triple-Play,Low,0.16
76,65+,Male,Rural Areas,Four-or-More,Retired/Unemployed,LG U+,Family,Low,0.48
58,55-64,Female,Seoul,Single,Office Worker,LG U+,Triple-Play,Low,0.42
69,65+,Male,Seoul,Single,Office Worker,SKB,Individual,Medium,0.26
47,45-54,Male,Other Urban,Three-Person,Service Industry,LG U+,Triple-Play,Low,0.17
33,25-34,Male,Rural Areas,Single,Service Industry,Other,Individual,Medium,0.61
44,35-44,Female,Other Urban,Single,Office Worker,SKB,Individual,Medium,0.52
53,45-54,Female,Rural Areas,Two-Person,Retired/Unemployed,SKB,Triple-Play,Low,0.23
11,5-12,Male,Other Urban,Two-Person,Student,Other,Individual,Low,0.09
54,45-54,Female,Other Urban,Two-Person,Professional/Managerial,LG U+,Family,High,0.85
66,65+,Female,Other Urban,Single,Retired/Unemployed,LG U+,Individual,Low,0.25
24,18-24,Female,Other Urban,Single,Office Worker,SKB,Individual,High,0.34
61,55-64,Male,Rural Areas,Single,Professional/Managerial,SKB,Individual,Low,0.29
85,65+,Male,Seoul,Two-Person,Retired/Unemployed,SKB,Individual,Low,0.17
80,65+,Male,Other Urban,Single,Retired/Unemployed,LG U+,Individual,Low,0.33
73,65+,Male,Other Urban,Four-or-More,Retired/Unemployed,SKB,Triple-Play,Low,0.45
47,45-54,Female,Seoul,Single,Office Worker,LG U+,Triple-Play,Medium,0.62
84,65+,Male,Other Urban,Four-or-More,Homemaker,Other,Family,Medium,0.18
55,55-64,Female,Other Urban,Two-Person,Retired/Unemployed,SKB,Family,Low,0.11
23,18-24,Male,Rural Areas,Single,Student,SKB,Individual,High,0.94
38,35-44,Female,Other Urban,Single,Professional/Managerial,LG U+,Triple-Play,High,0.63
55,55-64,Female,Other Urban,Single,Homemaker,KT,Individual,Low,0.27
26,25-34,Male,Other Urban,Two-Person,Office Worker,Other,Family,Medium,0.53
47,45-54,Female,Other Urban,Single,Professional/Managerial,LG U+,Individual,High,0.58
63,55-64,Male,Other Urban,Three-Person,Office Worker,KT,Family,Low,0.23
22,18-24,Female,Rural Areas,Two-Person,Student,SKB,Individual,High,0.69
52,45-54,Female,Other Urban,Three-Person,Office Worker,LG U+,Triple-Play,Medium,0.78
61,55-64,Female,Other Urban,Two-Person,Retired/Unemployed,KT,Family,Low,0.28
48,45-54,Male,Other Urban,Single,Office Worker,KT,Triple-Play,High,0.96
0,0-4,Female,Other Urban,Three-Person,Student,SKB,Triple-Play,Low,0.47
3,0-4,Male,Other Urban,Three-Person,Student,LG U+,Family,Low,0.2
37,35-44,Female,Seoul,Four-or-More,Office Worker,KT,Triple-Play,High,0.8
73,65+,Female,Seoul,Single,Homemaker,LG U+,Individual,Medium,0.68
34,25-34,Female,Other Urban,Four-or-More,Service Industry,SKB,Family,Low,0.12
48,45-54,Male,Rural Areas,Four-or-More,Service Industry,KT,Family,Medium,0.28
28,25-34,Male,Rural Areas,Three-Person,Office Worker,KT,Family,Medium,0.56
33,25-34,Female,Other Urban,Two-Person,Homemaker,KT,Family,Low,0.18
77,65+,Male,Other Urban,Four-or-More,Retired/Unemployed,Other,Family,Medium,0.48
56,55-64,Male,Rural Areas,Four-or-More,Office Worker,Other,Family,Low,0.6
16,13-17,Female,Other Urban,Three-Person,Student,KT,Family,High,0.79
39,35-44,Male,Other Urban,Two-Person,Office Worker,SKB,Family,High,0.29
11,5-12,Female,Other Urban,Three-Person,Student,Other,Family,Low,0.37
38,35-44,Male,Other Urban,Single,Professional/Managerial,SKB,Triple-Play,Medium,0.43
63,55-64,Male,Other Urban,Single,Homemaker,KT,Individual,Low,0.13
16,13-17,Female,Other Urban,Four-or-More,Student,KT,Triple-Play,High,0.55
29,25-34,Female,Rural Areas,Three-Person,Office Worker,LG U+,Triple-Play,Medium,0.64
43,35-44,Male,Other Urban,Four-or-More,Office Worker,SKB,Triple-Play,Medium,0.6
75,65+,Male,Rural Areas,Two-Person,Homemaker,LG U+,Triple-Play,Low,0.36
73,65+,Male,Other Urban,Two-Person,Homemaker,SKB,Individual,Low,0.11
10,5-12,Female,Rural Areas,Four-or-More,Student,KT,Family,Low,0.35
56,55-64,Female,Other Urban,Single,Homemaker,KT,Individual,Medium,0.71
43,35-44,Female,Other Urban,Three-Person,Service Industry,Other,Family,Medium,0.52
37,35-44,Female,Seoul,Two-Person,Service Industry,Other,Triple-Play,Low,0.26
58,55-64,Male,Seoul,Single,Retired/Unemployed,SKB,Triple-Play,Low,0.48
81,65+,Male,Other Urban,Single,Retired/Unemployed,KT,Individual,Low,0.3
78,65+,Male,Other Urban,Two-Person,Retired/Unemployed,SKB,Individual,Low,0.46
45,45-54,Female,Other Urban,Two-Person,Professional/Managerial,SKB,Family,High,0.48
35,35-44,Male,Seoul,Single,Office Worker,SKB,Individual,High,0.86
63,55-64,Male,Other Urban,Two-Person,Retired/Unemployed,Other,Family,Low,0.12
32,25-34,Male,Seoul,Two-Person,Professional/Managerial,KT,Individual,Medium,0.33
49,45-54,Male,Other Urban,Three-Person,Office Worker,LG U+,Triple-Play,Medium,0.4
39,35-44,Male,Rural Areas,Single,Service Industry,KT,Triple-Play,Low,0.34
63,55-64,Male,Seoul,Three-Person,Retired/Unemployed,SKB,Triple-Play,Medium,0.37
27,25-34,Female,Other Urban,Single,Office Worker,LG U+,Individual,High,0.84
20,18-24,Female,Rural Areas,Single,Professional/Managerial,SKB,Individual,High,0.85
87,65+,Male,Other Urban,Single,Homemaker,KT,Individual,Medium,0.37
13,13-17,Female,Other Urban,Three-Person,Student,SKB,Family,High,0.7
50,45-54,Female,Other Urban,Single,Homemaker,Other,Individual,Low,0.25
26,25-34,Female,Other Urban,Single,Office Worker,SKB,Individual,Medium,0.54
12,5-12,Male,Other Urban,Single,Student,KT,Triple-Play,Low,0.05
5,5-12,Male,Other Urban,Four-or-More,Student,LG U+,Triple-Play,Low,0.56
19,18-24,Female,Seoul,Four-or-More,Student,KT,Triple-Play,High,0.48
78,65+,Male,Seoul,Single,Retired/Unemployed,SKB,Triple-Play,Low,0.29
25,25-34,Male,Other Urban,Single,Professional/Managerial,SKB,Triple-Play,Medium,0.37
90,65+,Female,Rural Areas,Four-or-More,Retired/Unemployed,KT,Family,Low,0.19
54,45-54,Female,Seoul,Single,Professional/Managerial,SKB,Individual,Medium,0.25
43,35-44,Male,Rural Areas,Single,Professional/Managerial,LG U+,Individual,Medium,0.4
54,45-54,Female,Other Urban,Single,Professional/Managerial,KT,Individual,High,0.92
52,45-54,Male,Other Urban,Four-or-More,Professional/Managerial,SKB,Family,High,0.83
61,55-64,Male,Other Urban,Three-Person,Retired/Unemployed,KT,Family,Low,0.45
27,25-34,Female,Seoul,Single,Service Industry,SKB,Triple-Play,Low,0.67
42,35-44,Male,Other Urban,Single,Office Worker,KT,Triple-Play,High,0.86
66,65+,Female,Other Urban,Four-or-More,Homemaker,KT,Family,Low,0.11
66,65+,Female,Other Urban,Two-Person,Retired/Unemployed,KT,Family,Low,0.47
74,65+,Female,Other Urban,Two-Person,Office Worker,KT,Family,Low,0.43
37,35-44,Female,Seoul,Single,Office Worker,KT,Individual,High,0.76
61,55-64,Male,Other Urban,Three-Person,Homemaker,SKB,Family,Medium,0.17
35,35-44,Male,Other Urban,Single,Retired/Unemployed,SKB,Triple-Play,Medium,0.5
52,45-54,Male,Seoul,Three-Person,Professional/Managerial,KT,Family,High,0.82
21,18-24,Female,Seoul,Single,Student,KT,Individual,High,0.64
51,45-54,Male,Other Urban,Single,Professional/Managerial,LG U+,Individual,Medium,0.74
21,18-24,Male,Other Urban,Two-Person,Homemaker,LG U+,Triple-Play,Low,0.09
29,25-34,Male,Other Urban,Three-Person,Service Industry,SKB,Triple-Play,Low,0.28
74,65+,Male,Other Urban,Two-Person,Retired/Unemployed,Other,Family,Low,0.18
22,18-24,Female,Rural Areas,Single,Office Worker,Other,Individual,Medium,0.65
5,5-12,Female,Other Urban,Two-Person,Student,KT,Family,Low,0.39
8,5-12,Female,Other Urban,Three-Person,Student,KT,Triple-Play,Low,0.34
65,65+,Male,Rural Areas,Three-Person,Retired/Unemployed,LG U+,Family,Medium,0.85
45,45-54,Male,Rural Areas,Two-Person,Professional/Managerial,KT,Triple-Play,High,0.8
44,35-44,Female,Rural Areas,Single,Service Industry,SKB,Individual,Medium,0.46
55,55-64,Female,Other Urban,Two-Person,Retired/Unemployed,Other,Triple-Play,Low,0.14
71,65+,Female,Other Urban,Single,Homemaker,LG U+,Individual,Low,0.32
31,25-34,Male,Other Urban,Four-or-More,Office Worker,KT,Triple-Play,Medium,0.12
58,55-64,Female,Rural Areas,Two-Person,Service Industry,LG U+,Individual,Medium,0.67
56,55-64,Female,Seoul,Two-Person,Retired/Unemployed,SKB,Family,Low,0.32
57,55-64,Female,Other Urban,Single,Retired/Unemployed,Other,Triple-Play,Low,0.09
22,18-24,Male,Rural Areas,Single,Office Worker,KT,Individual,Medium,0.18
88,65+,Male,Other Urban,Two-Person,Retired/Unemployed,SKB,Triple-Play,Low,0.17
50,45-54,Male,Other Urban,Single,Office Worker,LG U+,Individual,High,0.91
34,25-34,Female,Other Urban,Four-or-More,Student,KT,Triple-Play,Medium,0.33
43,35-44,Female,Other Urban,Two-Person,Office Worker,KT,Individual,High,0.79
7,5-12,Female,Other Urban,Single,Student,KT,Individual,Low,0.16
16,13-17,Female,Other Urban,Single,Student,SKB,Triple-Play,High,0.6
63,55-64,Female,Rural Areas,Three-Person,Retired/Unemployed,Other,Family,Low,0.39
3,0-4,Female,Seoul,Single,Student,KT,Triple-Play,Low,0.6
35,35-44,Male,Other Urban,Two-Person,Office Worker,KT,Triple-Play,High,0.58
45,45-54,Female,Rural Areas,Two-Person,Homemaker,SKB,Family,Low,0.22
11,5-12,Female,Seoul,Single,Student,KT,Individual,Low,0.24
76,65+,Male,Other Urban,Three-Person,Homemaker,SKB,Triple-Play,Medium,0.32
34,25-34,Male,Seoul,Three-Person,Office Worker,SKB,Triple-Play,High,0.71
29,25-34,Male,Other Urban,Four-or-More,Service Industry,SKB,Triple-Play,Medium,0.26
26,25-34,Male,Other Urban,Two-Person,Office Worker,KT,Family,Medium,0.35
30,25-34,Female,Other Urban,Two-Person,Office Worker,KT,Family,High,0.84
0,0-4,Male,Rural Areas,Single,Student,LG U+,Individual,Low,0.41
60,55-64,Male,Other Urban,Two-Person,Professional/Managerial,KT,Family,Medium,0.33
72,65+,Female,Other Urban,Single,Homemaker,LG U+,Individual,Medium,0.43
29,25-34,Female,Other Urban,Three-Person,Professional/Managerial,LG U+,Triple-Play,High,0.78
61,55-64,Female,Seoul,Single,Retired/Unemployed,KT,Individual,Low,0.25
64,55-64,Female,Other Urban,Two-Person,Service Industry,Other,Family,Low,0.53
86,65+,Female,Other Urban,Single,Homemaker,KT,Individual,Low,0.18
38,35-44,Female,Rural Areas,Two-Person,Office Worker,LG U+,Triple-Play,Medium,0.84
31,25-34,Female,Other Urban,Two-Person,Service Industry,SKB,Family,Low,0.2
34,25-34,Female,Other Urban,Two-Person,Professional/Managerial,KT,Family,High,0.77
63,55-64,Female,Other Urban,Four-or-More,Service Industry,Other,Triple-Play,Low,0.52
74,65+,Female,Other Urban,Three-Person,Retired/Unemployed,Other,Family,Low,0.39
19,18-24,Female,Other Urban,Single,Student,SKB,Individual,High,0.88
41,35-44,Male,Rural Areas,Two-Person,Office Worker,SKB,Triple-Play,High,0.84
69,65+,Female,Seoul,Two-Person,Office Worker,Other,Family,Medium,0.67
61,55-64,Male,Seoul,Three-Person,Retired/Unemployed,SKB,Triple-Play,Low,0.38
67,65+,Male,Rural Areas,Three-Person,Retired/Unemployed,KT,Triple-Play,Low,0.11
56,55-64,Male,Other Urban,Single,Service Industry,SKB,Individual,Low,0.36
39,35-44,Male,Rural Areas,Three-Person,Professional/Managerial,LG U+,Family,High,0.9
48,45-54,Female,Other Urban,Single,Office Worker,LG U+,Triple-Play,High,0.86
59,55-64,Female,Seoul,Three-Person,Office Worker,Other,Family,Low,0.36
12,5-12,Male,Other Urban,Single,Student,KT,Triple-Play,Low,0.36
48,45-54,Female,Other Urban,Single,Office Worker,LG U+,Individual,Medium,0.8
63,55-64,Male,Seoul,Four-or-More,Retired/Unemployed,KT,Triple-Play,Low,0.05
24,18-24,Male,Other Urban,Two-Person,Office Worker,LG U+,Triple-Play,High,0.77
64,55-64,Female,Other Urban,Four-or-More,Retired/Unemployed,SKB,Family,Medium,0.8
51,45-54,Female,Other Urban,Single,Professional/Managerial,KT,Triple-Play,High,0.75
77,65+,Male,Rural Areas,Two-Person,Professional/Managerial,LG U+,Family,Medium,0.69
9,5-12,Female,Other Urban,Three-Person,Student,KT,Family,Low,0.1
32,25-34,Female,Other Urban,Single,Office Worker,KT,Individual,Medium,0.56
50,45-54,Male,Other Urban,Single,Professional/Managerial,SKB,Individual,Medium,0.73
32,25-34,Male,Other Urban,Single,Service Industry,LG U+,Individual,Medium,0.39
57,55-64,Female,Seoul,Four-or-More,Retired/Unemployed,KT,Family,Low,0.12
64,55-64,Female,Other Urban,Three-Person,Retired/Unemployed,KT,Family,Low,0.84
14,13-17,Male,Rural Areas,Two-Person,Student,KT,Individual,High,0.52
45,45-54,Male,Other Urban,Single,Homemaker,SKB,Individual,Low,0.44
50,45-54,Male,Other Urban,Single,Homemaker,KT,Individual,Low,0.21
35,35-44,Male,Rural Areas,Two-Person,Office Worker,LG U+,Triple-Play,High,0.89
89,65+,Female,Rural Areas,Four-or-More,Retired/Unemployed,Other,Triple-Play,Medium,0.54
82,65+,Female,Other Urban,Three-Person,Retired/Unemployed,SKB,Triple-Play,Low,0.31
56,55-64,Male,Seoul,Two-Person,Retired/Unemployed,LG U+,Individual,Low,0.11
61,55-64,Male,Other Urban,Two-Person,Retired/Unemployed,SKB,Individual,Medium,0.65
36,35-44,Female,Other Urban,Four-or-More,Office Worker,KT,Family,High,0.75
90,65+,Female,Rural Areas,Two-Person,Homemaker,KT,Family,Low,0.17
62,55-64,Male,Other Urban,Four-or-More,Retired/Unemployed,SKB,Triple-Play,Low,0.28
60,55-64,Female,Seoul,Single,Office Worker,Other,Triple-Play,Low,0.21
71,65+,Male,Other Urban,Three-Person,Retired/Unemployed,Other,Family,Low,0.28
31,25-34,Female,Other Urban,Two-Person,Professional/Managerial,Other,Family,Medium,0.51
60,55-64,Female,Seoul,Three-Person,Office Worker,Other,Triple-Play,Low,0.67
19,18-24,Female,Seoul,Two-Person,Homemaker,KT,Triple-Play,Low,0.41
33,25-34,Male,Other Urban,Single,Retired/Unemployed,KT,Individual,Low,0.38
33,25-34,Male,Seoul,Single,Office Worker,SKB,Individual,Medium,0.72
71,65+,Male,Other Urban,Four-or-More,Retired/Unemployed,LG U+,Triple-Play,Low,0.17
73,65+,Male,Other Urban,Single,Professional/Managerial,SKB,Individual,Low,0.14
64,55-64,Female,Other Urban,Four-or-More,Retired/Unemployed,Other,Triple-Play,Low,0.32
57,55-64,Female,Other Urban,Three-Person,Homemaker,LG U+,Family,Low,0.44
47,45-54,Male,Rural Areas,Two-Person,Homemaker,LG U+,Individual,Low,0.09
65,65+,Male,Other Urban,Four-or-More,Homemaker,KT,Family,Low,0.07
49,45-54,Male,Other Urban,Three-Person,Professional/Managerial,KT,Family,High,0.67
38,35-44,Male,Other Urban,Two-Person,Professional/Managerial,SKB,Family,High,0.59
19,18-24,Female,Other Urban,Single,Student,Other,Individual,Medium,0.47
63,55-64,Female,Seoul,Four-or-More,Retired/Unemployed,KT,Family,Low,0.06
57,55-64,Male,Other Urban,Three-Person,Retired/Unemployed,LG U+,Triple-Play,Low,0.19
42,35-44,Female,Other Urban,Three-Person,Service Industry,Other,Family,Medium,0.5
4,0-4,Female,Seoul,Three-Person,Student,KT,Family,Low,0.46
85,65+,Male,Other Urban,Single,Retired/Unemployed,KT,Individual,Medium,0.51
0,0-4,Female,Other Urban,Four-or-More,Student,SKB,Family,Low,0.08
58,55-64,Male,Other Urban,Single,Office Worker,SKB,Individual,Low,0.31
83,65+,Female,Other Urban,Single,Retired/Unemployed,Other,Individual,Low,0.29
35,35-44,Male,Other Urban,Single,Service Industry,KT,Individual,Low,0.48
29,25-34,Male,Other Urban,Single,Service Industry,SKB,Individual,Low,0.28
60,55-64,Male,Seoul,Two-Person,Office Worker,KT,Family,Low,0.06
66,65+,Female,Other Urban,Single,Homemaker,SKB,Triple-Play,Medium,0.29
47,45-54,Female,Seoul,Single,Professional/Managerial,KT,Individual,High,0.77
75,65+,Female,Rural Areas,Single,Homemaker,LG U+,Individual,Low,0.21
10,5-12,Female,Other Urban,Three-Person,Student,SKB,Triple-Play,Low,0.14
50,45-54,Male,Other Urban,Two-Person,Office Worker,LG U+,Triple-Play,Medium,0.27
58,55-64,Female,Other Urban,Two-Person,Homemaker,SKB,Family,Low,0.28
73,65+,Female,Seoul,Three-Person,Retired/Unemployed,SKB,Family,Low,0.39
22,18-24,Female,Other Urban,Two-Person,Professional/Managerial,Other,Individual,High,0.75
58,55-64,Male,Rural Areas,Single,Service Industry,KT,Individual,Low,0.24
46,45-54,Female,Other Urban,Four-or-More,Office Worker,KT,Triple-Play,Medium,0.39
40,35-44,Male,Other Urban,Single,Professional/Managerial,SKB,Individual,High,0.85
14,13-17,Male,Other Urban,Single,Student,LG U+,Individual,High,0.71
82,65+,Male,Other Urban,Two-Person,Homemaker,KT,Family,Low,0.21
21,18-24,Male,Rural Areas,Three-Person,Service Industry,SKB,Family,Medium,0.81
31,25-34,Female,Other Urban,Three-Person,Office Worker,KT,Family,Medium,0.56
27,25-34,Male,Rural Areas,Single,Service Industry,KT,Triple-Play,Low,0.09
73,65+,Male,Other Urban,Three-Person,Office Worker,KT,Triple-Play,Medium,0.6
59,55-64,Male,Other Urban,Three-Person,Retired/Unemployed,Other,Family,Low,0.45
62,55-64,Male,Seoul,Single,Retired/Unemployed,LG U+,Individual,Low,0.14
30,25-34,Female,Seoul,Single,Office Worker,KT,Individual,High,0.6
54,45-54,Female,Rural Areas,Three-Person,Professional/Managerial,KT,Family,High,0.65
52,45-54,Male,Other Urban,Single,Office Worker,KT,Individual,Medium,0.31
77,65+,Male,Other Urban,Single,Service Industry,KT,Individual,Low,0.09
75,65+,Female,Seoul,Single,Retired/Unemployed,LG U+,Individual,Medium,0.49
3,0-4,Female,Rural Areas,Single,Student,KT,Individual,Low,0.23
57,55-64,Female,Rural Areas,Single,Office Worker,KT,Individual,Low,0.34
7,5-12,Female,Other Urban,Single,Student,SKB,Triple-Play,Low,0.35
49,45-54,Male,Seoul,Single,Service Industry,KT,Triple-Play,Medium,0.32
34,25-34,Male,Seoul,Four-or-More,Service Industry,SKB,Family,Low,0.61
27,25-34,Female,Seoul,Single,Office Worker,LG U+,Individual,Medium,0.99
42,35-44,Female,Other Urban,Two-Person,Office Worker,SKB,Triple-Play,High,0.88
54,45-54,Female,Other Urban,Four-or-More,Office Worker,KT,Triple-Play,Medium,0.44
32,25-34,Female,Other Urban,Four-or-More,Office Worker,SKB,Triple-Play,Medium,0.76
56,55-64,Male,Seoul,Single,Homemaker,LG U+,Individual,Low,0.07
38,35-44,Female,Other Urban,Single,Homemaker,KT,Individual,Low,0.33
6,5-12,Male,Other Urban,Two-Person,Student,KT,Triple-Play,Low,0.48
55,55-64,Male,Rural Areas,Four-or-More,Retired/Unemployed,KT,Triple-Play,Low,0.17
28,25-34,Male,Other Urban,Single,Office Worker,SKB,Individual,High,0.76
38,35-44,Female,Other Urban,Two-Person,Office Worker,KT,Triple-Play,High,0.76
64,55-64,Female,Other Urban,Four-or-More,Homemaker,KT,Family,Low,0.53
33,25-34,Female,Other Urban,Two-Person,Professional/Managerial,KT,Family,High,0.65
11,5-12,Male,Other Urban,Three-Person,Student,SKB,Family,Low,0.31
37,35-44,Male,Other Urban,Three-Person,Professional/Managerial,KT,Family,Medium,0.35
79,65+,Female,Other Urban,Single,Office Worker,LG U+,Triple-Play,Medium,0.47
46,45-54,Female,Other Urban,Two-Person,Professional/Managerial,SKB,Triple-Play,High,0.84
63,55-64,Male,Other Urban,Two-Person,Retired/Unemployed,SKB,Triple-Play,Low,0.47
53,45-54,Male,Other Urban,Three-Person,Service Industry,SKB,Family,Low,0.18
18,18-24,Male,Other Urban,Three-Person,Retired/Unemployed,LG U+,Triple-Play,Low,0.41
40,35-44,Female,Seoul,Three-Person,Student,Other,Family,Medium,0.65
64,55-64,Female,Seoul,Single,Retired/Unemployed,LG U+,Individual,Medium,0.23
15,13-17,Female,Other Urban,Three-Person,Student,SKB,Family,High,0.88
33,25-34,Female,Rural Areas,Two-Person,Service Industry,LG U+,Individual,Medium,0.32
26,25-34,Male,Other Urban,Two-Person,Service Industry,SKB,Triple-Play,Medium,0.41
40,35-44,Female,Seoul,Two-Person,Office Worker,KT,Family,High,0.74
65,65+,Female,Rural Areas,Three-Person,Retired/Unemployed,KT,Family,Low,0.19
9,5-12,Male,Other Urban,Three-Person,Student,SKB,Triple-Play,Low,0.36
51,45-54,Female,Rural Areas,Two-Person,Office Worker,KT,Family,Medium,0.45
20,18-24,Male,Other Urban,Four-or-More,Professional/Managerial,KT,Family,High,0.78
87,65+,Female,Seoul,Single,Professional/Managerial,KT,Individual,Low,0.29
16,13-17,Male,Seoul,Single,Student,Other,Individual,High,0.73
43,35-44,Female,Other Urban,Two-Person,Professional/Managerial,KT,Family,Medium,0.7
